,place_id,osm_id,name,rating,total_reviews,price,geometry,index_right,cartodb_id,info,zone_e_rioni,quartieri,nome
1157,106986707,26785824.0,Finger's Roma,3.5,110,4.0,POINT (12.4746954 41.9123859),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1177,106910078,23920823.0,Bar Toma's,3.5,3,4.0,POINT (12.4816693 41.9267481),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1189,57621359,5127406236.0,Berberè Roma,4.0,379,2.5,POINT (12.5012553 41.9123674),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1204,106114811,23764047.0,Ristorante Pitagora,3.5,89,2.5,POINT (12.5112072 41.8974381),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1218,106729100,23900388.0,DOP Roma,5.0,1,1.0,POINT (12.5100462 41.9269835),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1224,137679193,159080879.0,Piada In Piedi,3.5,6,2.5,POINT (12.5006366 41.9176704),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1230,106068720,23899310.0,Sparta Greek Food,4.5,93,2.5,POINT (12.51485 41.9262903),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1236,129038945,122077316.0,Ristorante Pizzeria Ciro,3.0,75,1.0,POINT (12.5203512 41.913442),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1261,106862827,23951257.0,Xenia Srl,1.0,2,2.5,POINT (12.4668049 41.9308304),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1279,107374190,23899574.0,Alice Pizza,4.0,4,2.5,POINT (12.5218511 41.9302901),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1283,148075402,192113535.0,Bistro 54,4.5,12,2.5,POINT (12.5017228 41.9191724),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1286,105855778,23425744.0,Le salette del gusto,5.0,11,4.0,POINT (12.5163282 41.8972289),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1288,105294681,23463866.0,The Butcher Shop,4.5,80,2.5,POINT (12.5231742 41.9139097),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1297,107536932,26786325.0,Etienne Roma,4.5,182,2.5,POINT (12.5233879 41.9296986),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1299,127929227,118762904.0,Caffè & Co.,4.5,8,1.0,POINT (12.4911949 41.9214683),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1309,132565486,128670775.0,Mulino Mercato Italia,5.0,9,1.0,POINT (12.5207924 41.9094555),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1327,107356654,23920541.0,Bambu's Parioli,3.5,6,1.0,POINT (12.4862098 41.9274484),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1330,106874179,23426093.0,Er Mikko Tutto Cucina 1965,4.5,32,1.0,POINT (12.5135365 41.8960538),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1361,135909842,143063411.0,Shibuya,4.0,125,2.5,POINT (12.5093867 41.9219841),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1373,148493431,200449561.0,Caffè Nemorense,3.5,5,1.0,POINT (12.5139912 41.9293728),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1377,115704311,52492247.0,Teig,4.5,95,2.5,POINT (12.5062241 41.9161352),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1378,105630177,23951207.0,Casa del Gusto,4.5,233,2.5,POINT (12.4692214 41.9246476),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1380,59202873,5435192116.0,AveBirra,4.5,2,1.0,POINT (12.5245505 41.9092235),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1406,23794295,2613307724.0,Lievito Madre 00,4.0,19,1.0,POINT (12.5193283 41.9084773),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1416,145215301,184551767.0,Piadina Jo,3.0,4,1.0,POINT (12.497795 41.9189165),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1430,128882105,118762940.0,Passione Insalata,4.0,1,2.5,POINT (12.4990785 41.9165297),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1433,106872521,23899398.0,Ciro Kebab,4.5,38,1.0,POINT (12.5160194 41.9289008),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1435,105294681,23463866.0,Punto Primo,4.5,2,1.0,POINT (12.5231742 41.9139097),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1438,151858952,204388368.0,Ciro Kebab,4.5,40,1.0,POINT (12.5002095 41.912433),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1439,106267755,23426156.0,La Topaia,5.0,12,1.0,POINT (12.5123422 41.899782),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1447,59981912,5441231430.0,Domò Sushi,4.0,1793,2.5,POINT (12.5070188 41.9140804),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1457,128742848,121992051.0,Caffe Montebuono,3.0,1,2.5,POINT (12.51305 41.9339428),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1463,128961682,118569792.0,Le Gemme di Soraya,3.0,8,2.5,POINT (12.5196893 41.9115153),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1473,108123981,26804623.0,Cacio E Pepe Al Rifugio,2.0,2,2.5,POINT (12.5040869 41.9128548),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1479,19014110,2128992183.0,Pommidoro,4.0,572,2.5,POINT (12.5167057 41.8984868),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1481,137679193,159080879.0,Gastrotheca,4.5,9,1.0,POINT (12.5006366 41.9176704),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1496,138351497,159080865.0,Osteria Maré,4.5,216,2.5,POINT (12.5002136 41.9180059),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1504,137679193,159080879.0,Ristorante Cinese China Cuisine,4.0,6,2.5,POINT (12.5006366 41.9176704),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1515,129958753,121464275.0,Gyoza Ristorante Dim Sum - Sushi,4.5,72,2.5,POINT (12.472371 41.9202468),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1552,144517821,179048985.0,Centro Carabinieri Tevere,3.5,10,2.5,POINT (12.4859551 41.9315519),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1558,150572359,200449557.0,Contesto Caffè,4.0,9,1.0,POINT (12.5122152 41.9287401),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1577,106068720,23899310.0,Farina Lab,4.0,67,2.5,POINT (12.51485 41.9262903),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1596,106808975,26786321.0,&njoy Breakfast & Appetizers,3.0,4,2.5,POINT (12.5199958 41.9306626),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1600,109529465,33279940.0,Hopo Hot Pot,4.0,4,2.5,POINT (12.4724186 41.9130804),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1607,109133200,28866872.0,Non Chiamatela Pizza,4.0,5,1.0,POINT (12.5000237 41.9118554),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1618,115704311,52492247.0,Giada Food Lab and Drinks,4.5,35,2.5,POINT (12.5062241 41.9161352),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1625,108841083,27445762.0,Naturale,3.5,3,1.0,POINT (12.4986707 41.9123385),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1636,135151102,137472874.0,MuMar Cafe,5.0,6,2.5,POINT (12.5183316 41.9076443),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1646,107463806,23585005.0,Mani Fusion Restaurant,4.0,45,4.0,POINT (12.4970428 41.9182457),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1660,148329964,190525657.0,Lab 116,4.0,20,1.0,POINT (12.5141072 41.8973796),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1662,106714380,23951291.0,Agro - Autentici Gusti Ricercati Orti,4.5,24,2.5,POINT (12.463122 41.9287012),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1665,149915938,201610341.0,Pronto - Pizza e Cucina,3.0,71,2.5,POINT (12.5066591 41.9145144),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1673,139587635,157260640.0,Kirin - Ristorante Giapponese Cinese,4.0,59,4.0,POINT (12.5263428 41.9198959),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1685,150281632,204186081.0,La Mucca Bischera,3.5,892,2.5,POINT (12.5131651 41.8963211),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1686,106874179,23426093.0,Griglieria Pizzeria Porca Vacca,4.0,758,2.5,POINT (12.5135365 41.8960538),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1694,285250300,1993588.0,Librò Bistrot Letterario,5.0,1,2.5,POINT (12.508292353072626 41.9059672),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1722,106803545,23949270.0,SILYA Bistrot,2.5,3,2.5,POINT (12.4921233 41.9273293),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1729,120379968,77620364.0,FarinArte,3.5,51,1.0,POINT (12.5255169 41.9288145),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1806,131589468,128669211.0,Mattarello Piazza Bologna,3.5,352,2.5,POINT (12.5161934 41.910746),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1817,128580880,118569795.0,Sushita,4.5,180,2.5,POINT (12.5195587 41.9230047),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1830,85037754,8392405725.0,The Vignola Bistrot,3.5,28,2.5,POINT (12.4688621 41.9245758),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1848,107246702,23921547.0,Ristorante 1978,4.5,99,4.0,POINT (12.507718 41.9151875),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1859,105432092,23951167.0,Metropolita,4.0,116,2.5,POINT (12.461838 41.9270011),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1863,55127623,4806157689.0,WaFu Sushi,4.5,103,2.5,POINT (12.5113537 41.8971508),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1869,120069168,81130427.0,Ristorante Sandalia,4.5,417,4.0,POINT (12.5156292 41.9344294),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1876,106168671,23571765.0,Osteria da Marcello,4.0,518,1.0,POINT (12.5142205 41.8952432),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1886,107060659,23914013.0,Rosticceria I Molisani,4.0,232,1.0,POINT (12.5001093 41.9112646),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1892,130794098,125742176.0,"BARRA - Vescovio, Pescheria con Cucina",4.0,167,2.5,POINT (12.5124757 41.9330533),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1899,108430815,26593206.0,Kombu,5.0,1,2.5,POINT (12.4846584 41.9240132),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1913,110070928,30336942.0,Reverso,4.0,114,2.5,POINT (12.5247168 41.9142031),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1914,106236112,23764187.0,Bar delle Scienze,3.5,22,1.0,POINT (12.5121524 41.9002461),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1938,107587077,26804622.0,Terra Mia,4.5,118,2.5,POINT (12.5029386 41.9122136),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1952,115704311,52492247.0,Fish Hub,4.5,62,2.5,POINT (12.5062241 41.9161352),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1978,107356654,23920541.0,Zero21,3.5,18,2.5,POINT (12.4862098 41.9274484),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1981,105276300,23571850.0,Cornettaro di San Lorenzo,4.0,3,2.5,POINT (12.5188865 41.8980137),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
1989,107374190,23899574.0,Trap Food,4.5,161,2.5,POINT (12.5218511 41.9302901),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
2002,146473703,190344645.0,Vivi Bistrot,4.0,15,2.5,POINT (12.4920157 41.9140384),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
2025,107240702,23585111.0,Bottega Tirso,4.5,62,2.5,POINT (12.5009437 41.9164707),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
2035,129098415,121900422.0,Pinturicchio Caffè,5.0,4,1.0,POINT (12.4623593 41.9280818),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
2045,105425688,23953077.0,Pizza 88 gradi,5.0,1,1.0,POINT (12.5239049 41.9170658),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
2063,145215301,184551767.0,Sushi Chen,4.5,16,1.0,POINT (12.497795 41.9189165),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
2073,171461238,293589372.0,Wood enoteca e sapori,5.0,14,2.5,POINT (12.5210082 41.9206812),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
2084,106627666,26593212.0,Gepy Bar,4.0,1,2.5,POINT (12.4815131 41.9221445),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
2088,105860179,23426158.0,L'Apulia,4.5,114,2.5,POINT (12.5138454 41.8976589),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
2106,57105412,5138689354.0,Il Bancone di Birra del Borgo - Piazza Bologna,4.0,32,2.5,POINT (12.5211072 41.9128069),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
2124,107476933,26665014.0,KABB - Bistrot Enoteca Caffetteria Cocktail Bar,4.5,64,2.5,POINT (12.5012972 41.9128539),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
2146,115574660,49292252.0,Sottocasa,4.5,58,2.5,POINT (12.5251385 41.9237823),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
2155,105425688,23953077.0,Angolo 28,3.5,47,2.5,POINT (12.5239049 41.9170658),11,12,https://it.wikipedia.org/wiki/Municipio_Roma_II,Rioni: Castro Pretorio.,"Quartieri: Flaminio, Parioli, Pinciano, Salario, Trieste, Nomentano, Tiburtino.",Municipio II (ex II + ex III)
